question,answer
72+57+30=,159
57+36+53=,146
90+22+62=,174
87+40+49=,176
89+12+24=,125
64+18+49=,131
68+67+34=,169
91+55+87=,233
34+61+50=,145
85+97+47=,229
61+63+80=,204
86+29+86=,201
82+96+53=,231
26+51+53=,130
47+44+27=,118
41+51+41=,133
76+75+86=,237
83+50+21=,154
74+80+50=,204
59+40+39=,138
40+44+88=,172
38+54+47=,139
45+43+53=,141
48+56+42=,146
27+33+98=,158
46+81+36=,163
63+44+58=,165
34+28+16=,78
33+90+12=,135
31+92+76=,199
31+22+90=,143
97+72+43=,212
39+67+48=,154
82+69+56=,207
62+81+32=,175
13+44+69=,126
35+26+14=,75
15+22+70=,107
32+28+33=,93
88+70+93=,251
55+77+67=,199
72+59+34=,165
51+58+97=,206
83+12+39=,134
47+55+19=,121
75+21+60=,156
12+45+90=,147
56+71+11=,138
97+67+43=,207
29+55+72=,156
84+32+67=,183
63+39+60=,162
92+31+35=,158
16+51+15=,82
24+20+30=,74
16+68+16=,100
49+85+13=,147
22+18+42=,82
67+32+65=,164
54+55+64=,173
39+96+38=,173
58+10+35=,103
39+49+17=,105
14+50+86=,150
88+57+97=,242
46+72+39=,157
48+71+43=,162
85+16+89=,190
88+22+11=,121
24+78+11=,113
49+11+92=,152
14+94+34=,142
81+99+68=,248
53+60+97=,210
44+30+21=,95
43+41+38=,122
28+60+81=,169
44+80+76=,200
20+25+89=,134
83+89+66=,238
28+65+47=,140
20+28+77=,125
59+32+93=,184
10+20+75=,105
21+57+37=,115
83+40+61=,184
37+10+36=,83
67+18+96=,181
72+54+46=,172
80+53+38=,171
58+44+24=,126
78+28+11=,117
75+98+20=,193
99+96+25=,220
90+23+23=,136
41+54+23=,118
46+27+64=,137
93+75+54=,222
79+77+61=,217
43+39+61=,143
81+79+52=,212
68+24+68=,160
16+93+51=,160
92+22+73=,187
69+15+50=,134
92+72+96=,260
80+88+14=,182
74+85+20=,179
54+62+28=,144
29+60+97=,186
17+10+73=,100
16+90+13=,119
53+19+75=,147
73+93+90=,256
37+56+42=,135
51+87+84=,222
58+70+84=,212
39+51+71=,161
46+21+61=,128
75+99+84=,258
32+88+97=,217
75+43+70=,188
60+81+67=,208
40+86+73=,199
43+88+74=,205
69+87+56=,212
93+42+60=,195
87+40+81=,208
17+89+59=,165
87+60+82=,229
61+91+64=,216
79+92+31=,202
60+35+15=,110
11+63+23=,97
63+45+91=,199
21+18+37=,76
59+32+25=,116
29+98+49=,176
24+88+10=,122
27+45+69=,141
46+65+65=,176
60+30+87=,177
28+30+61=,119
38+54+58=,150
85+66+92=,243
74+91+38=,203
91+13+13=,117
70+12+35=,117
76+75+67=,218
40+51+65=,156
96+54+18=,168
33+91+41=,165
57+87+79=,223
48+17+98=,163
47+90+89=,226
74+79+91=,244
68+38+60=,166
54+90+37=,181
96+52+54=,202
23+37+27=,87
23+71+47=,141
43+19+50=,112
69+36+90=,195
87+48+61=,196
60+18+33=,111
39+40+49=,128
98+30+38=,166
29+42+23=,94
46+43+94=,183
95+92+35=,222
81+71+85=,237
73+74+59=,206
45+66+55=,166
33+84+25=,142
97+26+71=,194
47+86+21=,154
81+51+92=,224
24+30+18=,72
30+74+11=,115
66+10+60=,136
99+38+99=,236
89+81+23=,193
95+88+42=,225
22+63+48=,133
77+24+77=,178
55+16+52=,123
88+17+33=,138
12+99+33=,144
37+61+39=,137
33+70+93=,196
20+35+93=,148
64+12+78=,154
25+37+28=,90
39+27+84=,150
86+27+32=,145
52+43+10=,105
56+93+27=,176
52+19+70=,141
21+61+53=,135
77+74+93=,244
90+58+99=,247
62+75+36=,173
30+39+73=,142
93+34+60=,187
24+64+81=,169
19+16+95=,130
42+39+26=,107
83+52+71=,206
69+86+44=,199
87+23+13=,123
92+29+87=,208
38+61+17=,116
83+34+72=,189
85+46+33=,164
41+38+66=,145
66+15+52=,133
81+68+52=,201
74+33+24=,131
23+52+77=,152
76+34+49=,159
68+74+33=,175
92+14+12=,118
41+70+97=,208
54+17+89=,160
22+10+87=,119
62+26+45=,133
64+53+57=,174
16+95+18=,129
65+74+17=,156
49+47+91=,187
40+90+51=,181
26+99+46=,171
97+81+32=,210
22+96+22=,140
35+99+30=,164
57+83+97=,237
30+79+79=,188
93+88+14=,195
71+36+77=,184
52+67+42=,161
76+73+92=,241
52+75+50=,177
38+99+94=,231
33+99+28=,160
19+91+43=,153
51+11+84=,146
42+88+12=,142
67+65+59=,191
83+46+56=,185
57+93+12=,162
64+55+93=,212
42+61+64=,167
55+95+96=,246
46+26+97=,169
25+70+48=,143
14+28+42=,84
62+23+39=,124
31+28+60=,119
79+92+31=,202
17+78+93=,188
13+62+38=,113
60+49+30=,139
13+26+56=,95
75+20+14=,109
68+39+62=,169
25+55+43=,123
46+91+62=,199
87+45+10=,142
67+10+77=,154
81+63+75=,219
55+49+92=,196
27+38+94=,159
85+16+35=,136
79+60+50=,189
98+33+22=,153
77+34+87=,198
48+21+91=,160
36+17+47=,100
58+62+21=,141
61+48+24=,133
64+28+80=,172
63+48+26=,137
93+29+71=,193
45+17+21=,83
83+62+92=,237
26+20+98=,144
94+78+20=,192
48+97+64=,209
29+94+99=,222
20+11+93=,124
67+72+45=,184
60+64+17=,141
22+68+83=,173
15+12+75=,102
35+15+71=,121
49+71+27=,147
14+91+78=,183
92+29+36=,157
19+10+79=,108
42+87+68=,197
41+98+19=,158
29+32+20=,81
34+86+28=,148
95+27+24=,146
30+32+61=,123
15+50+25=,90
59+91+48=,198
48+64+61=,173
30+27+29=,86
50+18+77=,145
13+95+32=,140
60+88+96=,244
81+56+31=,168
36+85+61=,182
34+40+51=,125
28+34+84=,146
69+19+39=,127
33+67+42=,142
57+78+35=,170
83+35+22=,140
75+12+93=,180
29+40+58=,127
47+10+22=,79
63+73+16=,152
21+76+77=,174
80+28+63=,171
22+56+88=,166
32+86+48=,166
72+46+68=,186
51+25+76=,152
90+99+14=,203
65+47+51=,163
81+98+31=,210
59+97+81=,237
61+63+49=,173
51+60+90=,201
21+36+21=,78
73+82+62=,217
20+20+69=,109
31+67+78=,176
34+53+25=,112
64+14+36=,114
70+52+88=,210
51+22+66=,139
65+84+51=,200
54+68+87=,209
81+43+99=,223
82+88+67=,237
71+78+52=,201
38+34+58=,130
58+52+35=,145
46+14+22=,82
68+19+78=,165
25+24+84=,133
96+29+26=,151
77+23+44=,144
18+39+98=,155
30+87+23=,140
36+80+20=,136
65+71+56=,192
18+82+70=,170
82+60+35=,177
61+36+65=,162
31+36+65=,132
86+23+46=,155
52+43+71=,166
14+75+30=,119
86+88+30=,204
49+68+86=,203
84+73+66=,223
57+71+53=,181
16+20+60=,96
68+74+74=,216
37+35+99=,171
54+68+16=,138
64+44+12=,120
91+40+55=,186
76+21+21=,118
49+58+43=,150
16+40+69=,125
96+53+21=,170
75+12+25=,112
49+85+93=,227
99+92+34=,225
14+71+89=,174
74+31+13=,118
48+46+63=,157
50+73+99=,222
63+73+70=,206
99+48+19=,166
39+75+19=,133
55+48+41=,144
38+99+92=,229
13+99+48=,160
42+33+97=,172
53+77+43=,173
71+85+97=,253
45+56+15=,116
38+46+56=,140
89+40+65=,194
16+49+91=,156
52+59+28=,139
16+70+71=,157
40+59+90=,189
36+74+31=,141
37+34+80=,151
25+15+73=,113
19+47+97=,163
14+37+61=,112
53+52+78=,183
88+23+39=,150
35+35+56=,126
83+37+26=,146
28+63+88=,179
89+43+73=,205
57+39+16=,112
55+87+40=,182
63+43+72=,178
21+47+39=,107
42+44+32=,118
80+35+93=,208
32+64+80=,176
55+63+72=,190
31+34+88=,153
97+96+91=,284
53+66+51=,170
50+65+30=,145
65+69+36=,170
12+27+81=,120
35+78+49=,162
35+70+65=,170
44+64+85=,193
49+90+48=,187
30+61+45=,136
26+85+73=,184
69+44+80=,193
30+48+77=,155
27+23+20=,70
76+26+33=,135
91+83+86=,260
81+42+65=,188
24+59+44=,127
38+49+81=,168
22+16+79=,117
70+26+60=,156
47+43+57=,147
99+25+96=,220
89+94+56=,239
91+37+37=,165
78+37+88=,203
85+55+50=,190
53+84+14=,151
44+88+68=,200
57+79+55=,191
77+34+33=,144
64+28+40=,132
81+42+89=,212
16+31+89=,136
79+54+90=,223
33+28+16=,77
97+46+46=,189
91+97+42=,230
52+27+14=,93
59+22+59=,140
12+34+84=,130
56+81+54=,191
79+48+99=,226
82+54+36=,172
92+52+84=,228
13+64+10=,87
69+42+11=,122
86+12+25=,123
90+66+89=,245
47+71+43=,161
77+31+58=,166
57+48+30=,135
74+34+63=,171
82+91+96=,269
94+84+78=,256
43+80+23=,146
51+46+19=,116
31+87+83=,201
72+38+49=,159
54+25+62=,141
30+73+12=,115
70+26+81=,177
77+57+66=,200
98+75+90=,263
89+51+20=,160
35+34+98=,167
38+22+81=,141
96+98+50=,244
43+86+33=,162
60+29+13=,102
61+26+65=,152
50+59+72=,181
78+80+90=,248
51+70+13=,134
52+64+94=,210
53+76+93=,222
97+87+45=,229
35+45+47=,127
70+96+58=,224
26+20+89=,135
26+18+26=,70
33+66+62=,161
98+41+46=,185
89+61+54=,204
89+89+98=,276
47+50+19=,116
83+29+40=,152
93+58+81=,232
37+60+59=,156
20+33+98=,151
46+39+61=,146
28+28+26=,82
47+89+14=,150
29+91+29=,149
67+87+40=,194
98+21+40=,159
98+70+20=,188
17+47+63=,127
55+85+88=,228
97+60+78=,235
26+68+90=,184
29+63+86=,178
30+72+68=,170
40+70+77=,187
66+55+88=,209
12+91+39=,142
42+45+52=,139
69+73+24=,166
39+26+68=,133
25+81+53=,159
87+37+71=,195
60+31+43=,134
72+51+51=,174
86+23+72=,181
44+25+41=,110
97+99+13=,209
24+55+88=,167
49+59+11=,119
40+10+38=,88
11+57+81=,149
67+90+94=,251
79+77+94=,250
79+29+40=,148
26+40+36=,102
50+26+82=,158
78+50+49=,177
58+41+91=,190
81+49+87=,217
30+40+72=,142
67+28+76=,171
82+42+30=,154
19+13+64=,96
36+89+40=,165
31+30+15=,76
41+23+28=,92
17+60+22=,99
19+45+74=,138
12+55+89=,156
68+79+93=,240
65+80+95=,240
34+26+38=,98
38+12+48=,98
54+70+93=,217
91+80+89=,260
97+14+85=,196
11+63+41=,115
84+79+15=,178
92+54+32=,178
89+82+33=,204
48+65+36=,149
58+89+33=,180
98+83+82=,263
35+72+18=,125
20+52+87=,159
94+80+23=,197
67+70+36=,173
90+78+28=,196
47+93+24=,164
15+33+58=,106
41+19+79=,139
41+90+66=,197
77+68+94=,239
26+19+28=,73
46+38+73=,157
79+56+68=,203
77+74+38=,189
80+68+46=,194
29+98+93=,220
21+99+46=,166
31+20+76=,127
96+19+53=,168
26+73+21=,120
20+47+99=,166
43+40+53=,136
78+25+69=,172
33+17+55=,105
71+20+91=,182
62+21+94=,177
27+63+47=,137
72+48+54=,174
51+10+40=,101
16+95+40=,151
99+11+56=,166
57+16+48=,121
98+18+14=,130
11+76+65=,152
31+40+82=,153
46+40+66=,152
81+55+25=,161
28+54+71=,153
35+34+85=,154
50+82+89=,221
55+77+49=,181
92+10+98=,200
86+83+38=,207
34+29+40=,103
98+67+26=,191
26+33+31=,90
25+70+44=,139
66+55+81=,202
78+94+12=,184
32+61+15=,108
76+18+93=,187
19+39+84=,142
72+23+35=,130
66+26+71=,163
76+53+86=,215
48+25+76=,149
23+22+81=,126
44+10+70=,124
23+51+55=,129
36+22+22=,80
51+41+21=,113
44+48+61=,153
68+91+78=,237
42+79+29=,150
74+92+48=,214
64+62+66=,192
39+75+50=,164
97+14+38=,149
20+52+69=,141
29+25+25=,79
89+45+47=,181
45+41+79=,165
41+33+82=,156
70+89+57=,216
93+57+37=,187
27+73+50=,150
28+41+74=,143
27+44+56=,127
31+35+41=,107
39+80+82=,201
61+44+86=,191
76+24+19=,119
60+61+28=,149
33+24+53=,110
72+28+58=,158
69+86+92=,247
82+45+60=,187
47+73+80=,200
92+80+35=,207
83+40+65=,188
49+30+31=,110
88+85+83=,256
36+77+44=,157
27+92+25=,144
77+34+67=,178
29+83+21=,133
78+65+87=,230
78+46+79=,203
73+52+59=,184
64+90+78=,232
57+52+87=,196
89+89+60=,238
18+37+40=,95
54+34+71=,159
43+58+18=,119
27+20+35=,82
72+21+39=,132
67+30+16=,113
37+43+57=,137
52+66+65=,183
29+88+43=,160
59+42+89=,190
47+14+47=,108
57+80+29=,166
60+27+28=,115
27+73+19=,119
37+34+75=,146
80+34+82=,196
71+11+23=,105
60+95+46=,201
45+40+95=,180
42+13+32=,87
37+96+68=,201
74+54+88=,216
38+80+64=,182
65+57+14=,136
72+92+58=,222
44+21+99=,164
64+53+77=,194
42+79+32=,153
84+34+90=,208
98+86+51=,235
15+68+72=,155
96+38+27=,161
44+45+44=,133
61+92+57=,210
70+45+90=,205
44+10+88=,142
85+61+78=,224
20+76+36=,132
19+77+28=,124
70+49+68=,187
86+15+55=,156
18+17+88=,123
59+33+81=,173
12+97+25=,134
65+61+92=,218
35+54+51=,140
82+82+21=,185
70+77+43=,190
45+16+46=,107
64+88+35=,187
88+16+58=,162
20+75+90=,185
60+79+35=,174
78+29+82=,189
71+52+52=,175
89+85+63=,237
96+20+90=,206
53+95+93=,241
38+18+30=,86
49+83+52=,184
33+97+51=,181
90+90+74=,254
32+34+42=,108
62+84+69=,215
29+83+13=,125
66+67+46=,179
92+12+95=,199
11+27+23=,61
90+50+22=,162
52+71+82=,205
64+83+43=,190
92+94+70=,256
14+38+84=,136
74+40+71=,185
75+49+36=,160
10+96+21=,127
55+16+47=,118
71+21+95=,187
87+32+57=,176
52+23+26=,101
39+64+89=,192
93+91+12=,196
25+94+23=,142
26+78+38=,142
85+20+12=,117
48+17+26=,91
44+89+47=,180
60+55+22=,137
57+52+24=,133
70+24+92=,186
20+64+95=,179
96+88+13=,197
59+61+50=,170
63+35+68=,166
27+40+84=,151
39+67+16=,122
31+19+96=,146
10+89+77=,176
93+15+29=,137
66+41+53=,160
77+23+69=,169
99+59+29=,187
74+83+17=,174
13+66+50=,129
25+64+65=,154
95+77+36=,208
83+20+90=,193
85+95+43=,223
32+95+62=,189
28+43+39=,110
42+98+66=,206
83+59+43=,185
60+72+94=,226
80+22+26=,128
94+30+57=,181
42+33+60=,135
32+63+49=,144
96+56+47=,199
79+18+29=,126
38+68+15=,121
97+94+11=,202
21+25+62=,108
35+15+59=,109
32+58+72=,162
11+92+52=,155
37+21+11=,69
88+13+23=,124
65+13+69=,147
39+94+61=,194
75+54+76=,205
21+28+48=,97
67+18+17=,102
78+35+64=,177
39+98+99=,236
27+85+81=,193
46+82+39=,167
64+50+30=,144
81+56+63=,200
21+85+20=,126
75+30+32=,137
84+70+85=,239
96+81+50=,227
47+34+53=,134
24+37+85=,146
46+93+12=,151
63+34+51=,148
59+67+60=,186
47+60+68=,175
63+41+20=,124
40+88+53=,181
82+97+10=,189
85+16+12=,113
66+22+86=,174
63+63+19=,145
22+72+72=,166
26+36+45=,107
10+71+75=,156
17+23+96=,136
93+51+73=,217
15+62+69=,146
83+70+62=,215
29+38+99=,166
54+40+95=,189
96+93+64=,253
54+90+18=,162
86+94+73=,253
72+18+44=,134
18+49+35=,102
35+19+87=,141
87+23+55=,165
68+82+96=,246
28+40+30=,98
81+68+25=,174
24+55+73=,152
33+61+22=,116
59+64+90=,213
18+71+88=,177
20+17+70=,107
88+24+81=,193
27+15+78=,120
10+40+45=,95
95+38+53=,186
46+52+14=,112
79+99+85=,263
95+16+97=,208
20+12+85=,117
60+40+96=,196
34+40+88=,162
11+69+17=,97
24+55+36=,115
66+57+47=,170
34+20+70=,124
68+43+75=,186
28+73+60=,161
12+91+50=,153
93+51+71=,215
40+74+21=,135
31+95+84=,210
55+95+88=,238
37+60+13=,110
58+58+82=,198
12+90+68=,170
62+71+79=,212
61+76+86=,223
11+45+28=,84
99+37+30=,166
60+37+75=,172
76+87+99=,262
22+49+31=,102
73+92+97=,262
37+25+72=,134
56+76+56=,188
53+96+65=,214
10+31+39=,80
36+59+22=,117
74+47+35=,156
28+48+73=,149
95+38+23=,156
78+88+53=,219
49+43+85=,177
23+81+53=,157
49+68+73=,190
72+98+65=,235
69+17+84=,170
37+12+25=,74
54+28+92=,174
57+31+65=,153
58+40+93=,191
37+25+43=,105
95+18+89=,202
19+85+98=,202
71+64+13=,148
58+36+75=,169
19+64+88=,171
97+37+81=,215
15+96+95=,206
82+11+48=,141
36+28+22=,86
57+86+10=,153
86+20+69=,175
38+91+70=,199
31+30+16=,77
82+13+74=,169
43+56+77=,176
97+93+47=,237
34+27+57=,118
19+33+21=,73
86+73+67=,226
23+87+18=,128
64+59+74=,197
53+71+61=,185
87+16+68=,171
52+55+12=,119
18+91+93=,202
73+60+83=,216
71+53+91=,215
26+11+98=,135
29+83+15=,127
77+84+92=,253
82+39+43=,164
90+40+38=,168
67+42+90=,199
93+24+33=,150
79+29+61=,169
27+36+13=,76
94+95+17=,206
48+70+84=,202
39+96+91=,226
61+18+62=,141
42+59+79=,180
93+34+23=,150
44+92+92=,228
53+43+33=,129
24+27+50=,101
40+82+44=,166
50+63+95=,208
85+33+65=,183
40+84+60=,184
22+73+34=,129
31+51+48=,130
86+59+74=,219
72+59+58=,189
55+83+75=,213
15+68+37=,120
88+71+39=,198
34+47+85=,166
46+11+98=,155
76+89+83=,248
13+22+44=,79
22+69+36=,127
13+95+85=,193
41+16+96=,153
16+98+74=,188
81+82+90=,253
78+24+33=,135
26+50+44=,120
65+52+33=,150
73+14+90=,177
48+99+28=,175
87+56+53=,196
17+66+10=,93
11+25+99=,135
29+37+27=,93
88+38+84=,210
91+19+84=,194
93+99+40=,232
70+35+82=,187
62+29+36=,127
69+63+54=,186
63+63+37=,163
16+50+34=,100
27+63+77=,167
43+70+99=,212
68+15+87=,170
20+84+71=,175
73+12+19=,104
16+12+84=,112
62+91+91=,244
37+37+59=,133
56+93+22=,171
92+29+59=,180
93+70+22=,185
